Bear	Con gấu
Bowls	trò ném bóng gỗ
Boxing	đấm bốc
Canoeing	chèo thuyền ca-nô
Champion	Nhà vô địch
Climbing	leo núi
Coach	Huấn luyện viên
Competition	Cuộc thi
Competition	cuộc thi đấu
Cricket	crikê
Cycling	đua xe đạp
Darts	trò ném phi tiêu
Defeat	đánh bại/thua trận
Diving	lặn
Fishing	câu cá
Fixture	cuộc thi đấu
Football	bóng đá
Football	Môn bóng đá
Game	Trận đấu, ván đấu (thường dùng cho các môn với các cầu thủ không chuyên)
Golf	đánh gôn
Gymnastics	tập thể hình
Handball	bóng ném
Hiking	đi bộ đường dài
Hockey	khúc côn cầu
Horse	đua ngựa
Horse	cưỡi ngựa
Hunting	đi săn
Ice	khúc côn cầu trên sân băng
Ice	trượt băng
Inline	trượt pa-tanh
Jogging	chạy bộ
Jogging	Chạy bộ
Judo	võ judo
Karate	võ karate
Karting	đua xe kart (ô tô nhỏ không mui)
Kickboxing	võ đối kháng
Lacrosse	bóng vợt
Martial	võ thuật
Match	Trận đấu (dùng cho bóng đá, bóng bầu dục, cầu lông,… có 2 cầu thủ/2 đội
Motor	đua ô tô
Mountaineering	leo núi
Net	lưới
Netball	bóng rổ nữ
Offside	việt vị
Opponent	Đối thủ
Pass	chuyền bóng
Penalty	phạt đền
Player	cầu thủ
Pool	bi-a
Practice	Luyện tập
Referee	Trọng tài
Rowing	chèo thuyền
Rugby	bóng bầu dục
Running	chạy đua
Running	Chạy bộ
Sailing	chèo thuyền
Score	Điểm số
Scuba	lặn có bình khí
Shooting	bắn súng
Skateboarding	trượt ván
Skiing	trượt tuyết
Snooker	bi-a
Snowboarding	trượt tuyết ván
Sporty	Có tính chất thể thao
Squash	bóng quần
Stadium	Sân vận động
Surfing	lướt sóng
Swimming	bơi lội
Swimming	Môn bơi lội
Table	bóng bàn
Team	Đội
Tennis	Môn quần vợt
Ten-pin	bowling
Tournament	Giải đấu
Volleyball	Bóng chuyền
Volleyball	bóng chuyền
Walking	đi bộ
Water	bóng nước
Water	lướt ván nước do tàu kéo
Weightlifting	cử tạ
Windsurfing	lướt ván buồm
Wrestling	môn đấu vật
Airplane	Máy bay
Airport	Sân bay
Arrival	Sự tới nơi, sự cập bến
Bike	Xe đạp
Boat	Thuyền
Bus	Trạm dừng xe buýt
Bus	Xe buýt
Car	Xe ô tô
Delay	Chậm trễ, trì hoãn (chuyến bay)
Departure	Sự rời đi
Drive	Lái xe
Get	Lên xe/Xuống xe
Motorbike	Xe máy
Passenger	Hành khách
Public	Phương tiện giao thông công cộng
Ride	Lái xe máy, cưỡi ngựa
Road	Con đường
Rush	Giờ cao điểm
Ship	Tàu thủy
Station	Ga (tàu)
Subway	Tàu điện ngầm
Taxi	Xe taxi
Traffic	Tắc đường, ùn tắc giao thông
Traffic	Giao thông
Train	Tàu hỏa
Transport	Chuyên chở, vận tải
Blender	Máy xay sinh tố
Bowl	Bát, tô
Breakfast	Bữa sáng
Chopstick	Đũa
Cup	Tách, chén
Cupboard	Tủ bếp, tủ chạn
Cutting	Thớt
Dinner	Bữa tối
Dish	(1) Cái đĩa; (2) Món ăn
Dishwasher	Máy rửa bát
Fire	Lửa
Fork	Cái dĩa
Glass	Cái ly
Heat	Hơi nóng, sức nóng
Knife	Con dao
Lunch	Bữa trưa
Microwave	Lò vi sóng
Napkin	Khăn ăn, giấy ăn
Oven	Lò nướng
Pan	Cái chảo
Pot	Nồi
Sink	Chậu rửa
Spoon	Cái thìa
Stove	Bếp ga, bếp lò
Air	Máy điều hòa không khí
Armchair	Ghế bành
Bookshelf	Giá sách, kệ sách
Carpet	Thảm
Chair	Ghế tựa
Clock	Đồng hồ treo tường/để bàn
Curtain	Rèm cửa
Cushion	Gối tựa (trên ghế sofa)
Desk	Bàn làm việc
Fan	Cái quạt
Lamp	Đèn bàn
Picture	Bức tranh/ảnh
Remote	Điều khiển từ xa
Sofa	ghế sofa
Table	Cái bàn
Television	Cái tivi
Vase	Bình hoa, lọ hoa
Bed	Cái giường
Blanket	Cái chăn
Closet	Tủ quần áo
Comfortable	Thoải mái, dễ chịu
Drawer	Ngăn kéo
Dressing	Bàn trang điểm
Mattress	Cái đệm
Mirror	Cái gương
Pillow	Cái gối
Rest	Nghỉ ngơi
Sleep	Giấc ngủ
Wardrobe	Tủ quần áo
Bathtub	Bồn tắm
Comb	chải tóc
Conditioner	Dầu xả
Detergent	Chất tẩy rửa, bột giặt
Faucet	Vòi nước
Hair	Máy sấy tóc
Hairbrush	Lược chải tóc
Hanger	Mắc quần áo
Laundry	Quần áo cần giặt, tiệm giặt là
Mop	Lau nhà
Razor	Dao cạo râu
Scissor	Cái kéo
Shampoo	Dầu gội đầu
Shave	Cạo râu, cạo lông
Shower	Buồng tắm đứng
Soap	Xà phòng
Toilet	Nhà vệ sinh
Toilet	Giấy vệ sinh
Toothbrush	Bàn chải đánh răng
Toothpaste	Kem đánh răng
Towel	khăn tắm
Trash	Thùng rác
Washing	Máy giặt
Bakery	Tiệm bánh
Bank	Ngân hàng
Bar	quán bar
Bus	Trạm dừng xe buýt
Café	Quán cà phê
Citizen	Cư dân thành phố, công dân
City	Tòa thị chính
Court	Tòa án
Dwell	Cư trú, ở tại
Gas	Trạm xăng
Grocery	Cửa hàng tạp hóa
Hotel	Khách sạn
Library	Thư viện
Movie	Rạp chiếu phim
Museum	Bảo tàng
Park	Đỗ (xe)
Parking	Bãi đỗ xe
Police	Đồn cảnh sát
Post	Bưu điện
Restaurant	Nhà hàng
Road	Con đường
Shopping	Trung tâm thương mại
Store	Cửa hàng
Street	Phố
Supermarket	Siêu thị
Biology	Sinh học
Calculator	Máy tính cầm tay
Chemistry	Hóa học
Class	Lớp học
College	Trường cao đẳng
Computer	Tin học
Computer	Máy tính
Degree	Bằng
Eraser	Cục tẩy
Exam	Bài thi
Final	Bài thi cuối kì
Geography	Địa lý
Graduate	Tốt nghiệp
High	Trường trung học phổ thông
History	Môn lịch sử, lịch sử
Kindergarten	Trường mầm non, mẫu giáo
Laboratory	Phòng thí nghiệm
Learn	Học hỏi
Lecture	Bài giảng
Lecturer	Giảng viên
Literature	Văn học
Mathematics	Toán học
Mid-term	Bài thi giữa kì
Notebook	Quyển vở, quyển sổ
Pen	Bút mực, bút bi 
Pencil	Bút chì
Period	Tiết học
Physical	Môn thể dục
Physics	Môn vật lí
Primary	Trường tiểu học
Principal	Hiệu trưởng
Professor	Giáo sư
Ruler	Thước kẻ
School	Năm học
School	Trường học
Secondary	Trường trung học cơ sở
Semester	Học kì
Student	Học sinh, sinh viên
Study	Học tập
Subject	Môn học
Teacher	Giáo viên
Test	Bài kiểm tra
Textbook	Sách giáo khoa
Uniform	Đồng phục
University	Trường đại học
Ache	Đau
Backache	Đau lưng
Bandage	Băng cá nhân
Bleed	Chảy máu
Broken	Gãy tay
Broken	Gãy chân
Broken	Gãy
Bruise	Vết bầm tím
Clinic	Phòng khám
Cold	Cảm lạnh
Cure	Cách chữa trị
Diet	Chế độ ăn uống, ăn kiêng
Disease	Căn bệnh
Disorder	Chứng rối loạn
Dizzy	Hoa mắt chóng mặt
Doctor	Bác sĩ
Fever	Cơn sốt
Flu	Bệnh cảm cúm
Hea	Chữa lành, lành lại
Headache	Đau đầu
Healthy	Lành mạnh, tốt cho sức khỏe
Hospital	Bệnh viện
Ill	Bị ốm
Illness	Căn bệnh
Medicine	Thuốc
Nurse	Y tá
Obesity	Bệnh béo phì
Patient	Bệnh nhân
Pharmacy	Nhà thuốc
Pill	Viên thuốc
Sick	Bị ốm
Stomach	Đau bụng, đau dạ dày
Surgery	Ca phẫu thuật
Toothache	Đau răng
Wound	Vết thương
Activity	Hoạt động
Baking	Nướng bánh
Ballet	Múa ba lê
Chess	Cờ vua
Collect	Sưu tầm, thu thập
Cook	Nấu nướng
Dance	Nhảy
Dance	Nhảy múa
Fishing	Câu cá
Gardening	Làm vườn
Gardening	Làm vườn
Go	Đi dạo
Go	Đi dự tiệc
Go	Đi mua sắm
Go	Đi bơi
Go	Đi tập thể hình
Go	Đến quán bia, rượu
Hang	Đi chơi với bạn
Hobby	Sở thích
Jogging	Chạy bộ
Knitting	Đan len
Leisure	Thời gian rảnh
Listen	Nghe nhạc
Listening	Nghe nhạc
Mountaineering	Đi leo núi
Musical	Nhạc cụ
Play	Chơi thể thao
Read	Đọc sách
Reading	Đọc sách
Relax	Thư giãn
Sewing	May vá
Sing	Hát
Sleep	Ngủ
Surf	Lướt net
Take	Chụp ảnh
Travel	Du lịch
Watching	Xem TV/phim
Afford	Có khả năng chi trả
Affordable	Giá cả hợp lí, phải chăng
Aisle	lối đi giữa các dãy hàng
Bargain	Trả giá, mặc cả
Basket	cái rổ, cái giỏ, cái thúng
Basket	Giỏ hàng
Bookstore	Hiệu sách
Cart	Xe đẩy trong siêu thị
Cash	tiền mặt
Cashier	nhân viên thu ngân
Cashier	Nhân viên thu ngân
Cheap	Rẻ
Clerk	Nhân viên bán hàng
Clothing	Cửa hàng quần áo, thời trang
Complain	Phàn nàn
Complaint	lời phàn nàn
Convenience	Cửa hàng tiện lợi
Counter	quầy
Credit	thẻ tín dụng
Credit	Thẻ tín dụng
Customer	Khách hàng
Discount	Ưu đãi, giảm giá
Discount	chiết khấu
Expensive	Đắt đỏ
Fitting	phòng thay đồ
In	còn hàng
Mall	Trung tâm thương mại
Manager	quản lí cửa hàng
Out	hết hàng
Out	Hết hàng, cháy hàng
Price	Giá cả
Price	giá
Purse	ví phụ nữ
Queue	xếp hàng
Receipt	giấy biên nhận
Receipt	Hóa đơn
Refund	hoàn tiền
Refund	sự hoàn tiền
Sale	giảm giá
Salon	salon làm đẹp
Shelf	kệ, ngăn, giá
Shop	nhân viên bán hàng
Shop	cửa kính trưng bày hàng
Shop	Cửa hàng
Shopping	túi mua hàng
Shopping	danh sách các món đồ cần mua
Special	ưu đãi đặc biệt
Stock	Hàng hóa trong kho
Stockroom	kho chứa hàng
Store	Cửa hàng
To	mua
To	đi mua sắm
To	đặt hàng
To	bán
Trolley	xe đẩy hàng
Wallet	ví tiền
Wallet	Ví
Accommodation	Chỗ ở, điều kiện ăn ở
Adventure	Cuộc khám phá
Attraction	Sự hấp dẫn, thu hút
Backpack	Ba lô
Coach	xe buýt chạy đường dài
Cruise	chuyến đi (bằng tàu thuỷ)
Custom	Phong tục tập quán
Destination	điểm đến
Destination	Điểm đến
Explore	Khám phá
Ferry	phà; bến phà
Flight	Tiếp viên hàng không
Flight	Chuyến bay
Harbour	bến tàu, cảng
Journey	Hành trình
Map	Bản đồ
Memorable	Đáng nhớ
Memory	Kỉ niệm
Passport	hộ chiếu
Passport	Hộ chiếu
Platform	Thềm ga, sân ga (xe lửa), bậc lên xuống (xe búyt)
Public	phương tiện giao thông công cộng
Resort	nơi nghỉ, khu nghỉ dưỡng
Sightseeing	Tham quan
Souvenir	Quà lưu niệm
Suitcase	Va li
Ticket	Vé (máy bay, tàu hỏa,…)
Tour	Hướng dẫn viên du lịch
Tour	Chuyến du lịch
Tourist	Khách du lịch
Travel	Đi du lịch
Trip	Chuyến đi
Vacation	Kì nghỉ
A	xe ba bánh
Ambulance	xe cứu thương
Bicycle	xe đạp
Bulldozer	xe ủi
Bus	xe buýt
Camel	lạc là
Canoe	xuồng
Car	xe hơi
Caravan	nhà lưu động
Cargo	tàu chở hàng
Concrete	xe trộn bê tông
Crane	xe cần cẩu
Cruise	tàu du lịch
Donkey	con lừa
Dump	xe chở cát
Ferry	phà
Fire	xe cứu hỏa
Helicopter	máy bay trực thăng
Horse	ngựa
Horse-drawn	xe ngựa kéo
Hot-air	khinh khí cầu
Jet	máy bay phản lực
Litter	cái kiệu
Motor	xuồng máy
Motorbike	xe máy
Ox	xe bò
Propeller	máy bay xài động cơ cánh quạt
Rocket	tên lửa
Sailboat	thuyền buồm
Scooter	xe tay ga
Snow	xe ủi tuyết
Snow	ván trượt tuyết
Submarine	tàu ngầm
Tank	xe bồn (chở chất lỏng)
Train	xe lửa
Tram	tàu điện trên mặt đất
Truck	xe tải
Vietnamese	xe xích lô
Wheelchair	xe lăn
Afternoon	Buổi chiều
April	Tháng Tư
August	Tháng Tám
Calendar	Lịch
Century	Thế kỉ
Date	Ngày (thường chỉ ngày trong tháng)
Day	Ngày (thường chỉ ngày trong tuần)
Decade	Thập kỉ
December	Tháng Mười hai
Evening	Buổi tối
Fall	Mùa thu
February	Tháng Hai
Frida	Thứ Sáu
Hour	Giờ, tiếng
January	Tháng Một
July	Tháng Bảy
June	Tháng Sáu
March	Tháng Ba
May	Tháng Năm
Minute	Phút
Monday	Thứ Hai
Month	Tháng
Morning	Buổi sáng
Night	Buổi đêm
Noon	Buổi trưa
November	Tháng Mười một
October	Tháng Mười
Quarter	Quý
Saturday	Thứ Bảy
Season	Mùa
Second	Giây
September	Tháng Chín
Spring	Mùa xuân
Summer	Mùa hè
Sunday	Chủ nhật
Thursday	Thứ Năm
Time	Thời gian
Tuesday	Thứ Ba
Watch	Đồng hồ đeo tay
Wednesday	Thứ Tư
Week	Tuần
Winter	Mùa đông
Year	Năm
Adjective	Tính từ
Advanced	Nâng cao
Adverb	Trạng từ
Apostrophe	dấu phẩy phía trên bên phải
Beginner	Người mới bắt đầu
Colon	hai chấm
Comma	dấu phẩy
Conversation	Cuộc trò chuyện
Dash	dấu gạch ngang dài
Dialogue	Cuộc hội thoại
Dictionary	Từ điển
Ellipsis	dấu ba chấm
Exclamation	dấu chấm than
Fluent	Trôi chảy
Grammar	Ngữ pháp
Hyphen	dấu gạch ngang
Intermediate	Trung bình
Language	Ngôn ngữ
Listen	Nghe
Native	Bản địa
Noun	Danh từ
Question	dấu chấm hỏi
Read	Đọc
Semicolon	dấu chấm phẩy
Sentence	Câu văn
Speak	Nói
Verb	Động từ
Vocabulary	Từ vựng
Word	Từ ngữ
Write	Viết
Blessing	Phước lành
Celebrate	Ăn mừng, chào mừng
Christmas	Lễ Giáng sinh
Decorate	Trang trí, trang hoàng
Easter	Lễ Phục sinh
Festival	Lễ hội
Festive	Có tính chất, không khí lễ hội
Holiday	Ngày lễ
Independence	Lễ Quốc khánh
Joy	Niềm vui sướng
Lunar	Tết nguyên đán
Mid-autumn	Tết Trung thu
New	Giao thừa
Present	Món quà
Tradition	Truyền thống
Wish	Ước
Salt	muối
Sugar	đường
Pepper	tiêu
MSG	bột ngọt
Mustard	mù tạt
Soy	nước tương
Vinegar	dấm
Accountant	Kế toán
Boss	Sếp, cấp trên
Capital	Vốn
Company	Công ty
Department	Phòng ban, bộ phận
Director	Giám đốc
Diversify	đa dạng hóa
Dividend	Cổ tức
Do	làm ăn với
Downsize	cắt giảm nhân công
Employ	Tuyển dụng
Employee	Nhân viên
Employer	Nhà tuyển dụng
Enterprise	Doanh nghiệp
Envelope	bao thư (nói chung)
Establish	thành lập (công ty)
File	hồ sơ, tài liệu
Firm	Tập đoàn
Franchise	nhượng quyền thương hiệu
Go	phá sản
Invest	Đầu tư
Leader	Nhóm trưởng, Chỉ huy
Loss	Lỗ, mất mát, thiếu hụt
Manager	Trưởng phòng, quản lí
Merge	sát nhập
Notepad	giấy được đóng thành xấp, tập giấy
Notebook	sổ ta
Outsource	thuê gia công
Paper	giấy
Partner	Đối tác
Product	Sản phẩm
Profit	Lợi nhuận
Revenue	Doanh thu
Secretary	Thư ký
Service	Dịch vụ
Shareholder	Cổ đông
Actor	Diễn viên nam/nữ
Architect	Kiến trúc sư
Baker	Thợ làm bánh
Businessman	Doanh nhân
Chef	Bếp trưởng
Cleaner	Lao công, dọn dẹp
Dentist	Nha sĩ
Designer	Nhà thiết kế
Engineer	Kỹ sư
Farmer	Người nông dân
Fireman	Lính cứu hỏa
Fisherman	Ngư dân
Florist	Người bán hoa
Gardener	Người làm vườn
Hairdresser	Thợ làm tóc, tiệm làm tóc
Journalist	Phóng viên
Judge	Thẩm phán
Lawyer	Luật sư
Mechanic	Thợ cơ khí
Model	Người mẫu
Pilot	Phi công
Plumber	Thợ sửa ống nước
Policeman	Cảnh sát
Scientist	Nhà khoa học
Security	Bảo vệ
Soldier	Người lính
Tailor	Thợ may
Waiter	Bồi bàn (nam/nữ)
Worker	Công nhân
Achievement	Thành tựu, thành tích
Apply	Ứng tuyển, áp dụng
Colleague	Đồng nghiệp
Contract	Hợp đồng
Deadline	Hạn chót
Experience	Kinh nghiệm, trải nghiệm
Fire	Sa thải, đuổi việc
Interview	Phỏng vấn
Meeting	Cuộc họp
Offer	Lời đề nghị
Office	Văn phòng
Position	Vị trí, chức vụ
Promote	Đề bạt, thăng chức
Punishment	Hình phạt
Report	Bản báo cáo
Resign	Từ chức, nghỉ việc
Responsibility	Trách nhiệm
Retire	Nghỉ hưu
Reward	Thưởng (cho ai đó)
Salary	Lương, tiền công
Succeed	(đạt được) Thành công
Successful	Thành công
Task	Nhiệm vụ, đầu việc
Teamwork	Làm việc nhóm
Applaud	Vỗ tay, tán thưởng
Art	Nghệ thuật
Artist	Nghệ sĩ
Artwork	Tác phẩm nghệ thuật
Audience	Khán giả
Author	Tác giả
Band	Ban nhạc
Brush	Cọ vẽ
Camera	Máy ảnh
Canvas	Vải bạt (để vẽ tranh sơn dầu)
Choir	Dàn hợp xướng
Clap	Vỗ tay, hoan hô
Collection	Bộ sưu tập
Composer	Nhà soạn nhạc
Concert	Buổi trình diễn âm nhạc
Creative	tính sáng tạo
Culture	Văn hóa
Design	Thiết kế
Drawing	Bức vẽ
Exhibition	Triển lãm
Film	Bộ phim
Gallery	Phòng triển lãm, trưng bày
Illustration	Hình minh họa
Image	Bức ảnh
Inspiration	Nguồn cảm hứng
Inspire	Truyền cảm hứng
Literature	Văn học, văn chương
Masterpiece	Kiệt tác
Model	Mẫu (vẽ), người mẫu
Movie	Bộ phim
Music	Âm nhạc
Musical	Nhạc cụ
Novel	Tiểu thuyết
Painting	Bức vẽ, bức tranh
Paper	Tờ giấy
Pattern	Họa tiết
Performance	Tiết mục, buổi trình diễn, phần thể hiện
Photo	Bức ảnh
Photographer	Nhiếp ảnh gia
Poem	Bài thơ
Poet	Nhà thơ, thi sĩ
Poetry	Thơ ca
Portrait	Tranh chân dung
Pottery	Đồ gốm, nghệ thuật làm gốm
Sculpture	Bức tượng điêu khắc
Show	Buổi biểu diễn
Singer	Ca sĩ
Sketch	viết//vẽ nháp
Song	Bài hát, ca khúc
Story	Câu chuyện
Studio	Xưởng (vẽ, làm phim, chụp ảnh,…)
Theater	Nhà hát
Video	Đoạn phim
Access	Truy cập
Application	Ứng dụng (điện thoại di động)
Blog	Nhật ký trực tuyến
Browser	Trình duyệt
cable	dây
Click	Nhấp chuột
Computer	Máy tính để bàn
Connection	Kết nối
Data	Dữ liệu
Delete	Xóa bỏ
desktop	máy tính bàn
Download	Tải xuống
Ebook	Sách điện tử
E-mail	thư điện tử
Error	Lỗi
Hardware	Phần cứng
Headphone	Tai nghe
Install	Cài đặt, lắp đặt
Internet	Mạng internet
Keyboard	Bàn phím máy tính
keyboard	bàn phím
Laptop	Máy tính xách tay
laptop	máy tính xách tay
Link	Đường dẫn
Log	Đăng nhập
monitor	phần màn hình
Mouse	Chuột máy tính
mouse	chuột
Password	Mật khẩu
PC	máy tính cá nhân
power	cáp nguồn
Printer	Máy in
printer	máy in
Program	Chương trình (máy tính)
screen	màn hình
Sign	Đăng kí
Smartphone	Điện thoại thông minh
Social	Mạng xã hội
Software	Phần mềm
Speaker	Loa
speakers	loa
Surf	Lướt (web)
System	Hệ thống
Tablet	Máy tính bảng
Virus	vi rút
Website	Trang web
Wifi	mạng wifi
Wireless	Không dây
Answer	Câu trả lời
Answerphone	Máy trả lời tự động
Area	Mã vùng
Battery	Pin
Business	Cuộc gọi công việc
Call	Cuộc gọi
Call	Cây gọi điện thoại
Cellphone	Điện thoại di động
Communicate	Giao tiếp
Contact	Địa chỉ liên hệ
Cordless	Điện thoại không dây
Country	Mã nước
Dialling	Tín hiệu gọi
Directory	Tổng đài báo số điện thoại
Engaged	Máy bận
Ex-directory	Số điện thoại không có trong danh bạ
Extension	Số máy lẻ
Fault	Lỗi
Fax	Bản fax
Hotline	Đường dây nóng
Interference	Nhiễu tín hiệu
Message	Tin nhắn
Message	Gửi tin nhắn
Missed	Cuộc gọi nhỡ
Missed	Lỡ, nhỡ
Mobile	Điện thoại di động
Mobile	Sạc điện thoại di động
Off	Máy kênh
Operator	Người trực tổng đài
Outside	Kết nối với số bên ngoài công ty
Personal	Cuộc gọi cá nhân
Phone	Danh bạ
Phone	Cây gọi điện thoại
Phone	Thẻ điện thoại
Phone	Số điện thoại
Receive	Nhận được
Receiver	Ống nghe
Ring	Cuộc gọi
Ringtone	Nhạc chuông
Send	Gửi đi
Signal	Tín hiệu
Signature	Chữ ký
Smartphone	Điện thoại thông minh
Stamp	Con tem
Switchboard	Tổng đài
Telephone	Điện thoại
Telephone	Số điện thoại
Telephone	Điện thoại để bàn
Text	Tin nhắn văn bản
Text	Tin nhắn
To	Bị cắt tín hiệu
To	Gọi điện
To	Gọi lại cho ai
To	Quay số
To	Dập máy
To	Để lại tin nhắn
To	Bật loa
To	Gọi điện
To	Gửi tin nhắn
To	Nhắn tin
Wrong	Nhầm số
Advertisement	Quảng cáo
Article	Bài báo
Broadcast	Chương trình phát sóng
Cable	Dây cáp
Channel	Kênh truyền hình
Character	Nhân vật
Column	Chuyên mục
Commercial	Tính chất thương mại
Daily	Có tính chất hàng ngày
Editor	Biên tập viên
Episode	Tập (phim)
Headline	Tiêu đề
Issue	Số, kì phát hành (báo)
Live	Truyền hình trực tiếp
Magazine	Tạp chí
Monthly	Hàng tháng
Newspaper	Báo giấy
Press	Truyền thông, báo chí
Publisher	Nhà xuất bản
Reporter	Phóng viên
Script	Kịch bản
Subtitle	Phụ đề
TV	Phim truyền hình
TV	Chương trình truyền hình
TV	Đài truyền hình
Weekly	Hàng tuần
Area	Diện tích
Centimeter	Cen ti mét
Distance	Khoảng cách
Estimate	Ước lượng, dự đoán
Gram	Gam
Hectare	Hecta
Height	Chiều cao
Kilo	Kilogram, cân
Kilometer	Ki lô mét
Length	Chiều dài
Liter	Lít
Measure	Đo đạc
Meter	Mét
Mile	Dặm
Ruler	Thước kẻ
Unit	Đơn vị
Weight	Cân nặng, khối lượng
Width	Chiều rộng
Fast	Nhanh
Hasty	Vội vàng, nhanh chóng
Hurry	Thúc giục, làm vội vàng
Pace	Nhịp độ
Prompt	Thúc đẩy
Quick	Nhanh, mau
Quicken	Làm tăng nhanh, đẩy mạnh
Rapid	Nhanh chóng, mau lẹ
Run	Chạy
Rush	Vội vã thực hiện
Slow	Chậm chạp
Speed	Tốc độ
Sprint	Chạy nhanh, chạy nước rút
Swift	Mau, nhanh
Velocity	Vận tốc
Walk	Đi bộ, đi dạo
Always	Luôn luôn
Frequently	Thường xuyên
Never	Không bao giờ
Occasionally	Thi thoảng
Often	Thường
Rarely	Hiếm khi
Sometimes	Đôi lúc
Usually	Thông thường
Absolutely	Tuyệt đối, hoàn toàn
Actually	Thực ra, thực sự
Almost	Gần như, hầu như
Barely	Chỉ vừa đủ, gần như là không
Completely	Hoàn toàn
Enough	Đủ
Entirely	Hoàn toàn, trọn vẹn
Highly	Rất, hết sức, ở mức độ cao
Just	Chỉ
Nearly	Gần như, suýt
Only	Duy nhất, chỉ một
Perfectly	Một cách hoàn hảo
Pretty	Khá là
Quite	Khá là
Rather	Phần nào, hơi, khá là
Really	Thật sự
Remarkably	Đặc biệt, phi thường
Slightly	Hơi hơi, một chút
Terribly	Tồi tệ, kinh khủng
Too	Quá, rất, cũng
Totally	Hoàn toàn
Very	Rất
Above	Phía trên
Across	Đối diện (với cái gì)
Along	Dọc theo
Among	Ở giữa (3 vật thể trở lên)
Around	Xung quanh
At	Tại
Behind	Phía sau
Below	Bên dưới
Between	Nằm giữa (2 vật)
In	Trong
In	Phía trước
Inside	Phía trong
Near	Gần với
Next	Bên cạnh
On	Trên
Opposite	Đối diện
Outside	Bên ngoài
Over	Phía trên
Towards	Về phía, hướng về
Under	Phía dưới
Up	Lên, ở trên
Decline	Sự sụt giảm
Decrease	Sự giảm sút
Diminish	Giảm sút
Drop	Sự sụt giảm
Grow	Phát triển, tăng trưởng
Increase	Sự tăng lên
Lessen	Giảm bớt
Raise	Sự tăng lên
Reduce	Giảm
Rise	Tăng lên
Blusher	má hồng
Blusher	phấn má hồng
Bronzer	phấn tối màu để cắt mặt
Brush	lược to, tròn
Buff	bông đánh phấn
Comb	lược nhỏ (lược 1 hàng)
Concealer	kem che khuyết điểm
Face	mặt nạ
Foundation	kem nền
Gel	dang gieo
Highlighter	kem highlight
Liquid	dạng lỏng, nước
Moisturizer	kem dưỡng ẩm
Pencil	dạng chì
Powder	dạng phấn
Powder	Phấn phủ
Sheer	chất phấn trong, không nặng
Skin	dung dịch săn da
Bangle	vòng đeo (ở cổ tay hay cánh tay)
Bracelet	vòng đeo tay
Chain	chuỗi vòng cổ
Charm	những vật trang trí nhỏ
Charm	vòng đeo tay (gắn nhiều đồ trang trí nhỏ xung quanh
Clasp	cái móc, cái gài
Cufflink	khuy cài cổ tay áo (măng sét)
Earrings	bông tai (hoa tai)
Engagement	nhẫn đính hôn
Hoop	vòng đeo Tai
Medallion	mặt dây chuyền (tròn, bằng kim loại)
Pearl	dây chuyền ngọc trai
Pendant	mặt dây chuyền (bằng đá quý)
Pin	cái ghim cài áo
Signet	nhẫn có khắc hình phía trên
Wedding	nhẫn cưới
Able	có thể làm được điều gì đó
Accurate	chính xác
Actual	thực tế
Additional	thêm vào
Available	sẵn có
Aware	nhận thức
Basic	cơ bản
Capable	có khả năng
Competitive	cạnh tranh
Critical	Quan trọng
Cute	dễ thương
Dangerous	Nguy hiểm
Different	khác nhau
Difficult	khó khăn
Dramatic	ấn tượng
Educational	giáo dục
Efficient	hiệu quả
Electrical	điện
Electronic	điện tử
Emotional	cảm xúc
Entire	toàn bộ
Environmental	môi trường
Every	mỗi
Expensive	đắt
Federal	liên bang
Financial	tài chính
Foreign	nước ngoài
Global	toàn cầu
Happy	hạnh phúc
Healthy	khỏe mạnh
Helpful	hữu ích
Historical	tính lịch sử
Hot	nóng
Huge	lớn
Hungry	đói
Immediate	ngay lập tức
Important	Quan trọng
Impossible	không thể
Intelligent	thông minh
Interesting	thú vị
Known	được biết đến
Large	lớn
Legal	pháp lý
Medical	y tế
Mental	thuộc tinh thần
Nice	đẹp
Numerous	nhiều
Old	cũ
Political	chính trị
Poor	người nghèo
Popular	phổ biến
Powerful	mạnh mẽ
Practical	thực tế
Pregnant	mang thai
Psychological	tâm lý
Rare	hiếm
Recent	gần đây
Relevant	có liên quan
Responsible	chịu trách nhiệm
Scared	sợ hãi
Serious	nghiêm trọng
Several	vài
Severe	nghiêm trọng
Significant	đáng kể
Similar	tương tự
Strong	mạnh mẽ
Successful	thành công
Sufficient	đủ
Suitable	phù hợp
Technical	kỹ thuật
Traditional	truyền thống
Typical	điển hình
United	liên kết, hợp nhất
Unusual	bất thường
Used	được sử dụng
Useful	hữu ích
Various	khác nhau, không giống nhau
Whose	có
Willing	sẵn sàng
Wonderful	tuyệt vời
Backpack	ba lô
Bag	cặp sách
Ballpoint	bút bi
Beaker	cốc bêse (dùng trong phòng thí nghiệm)
Binder	bìa rời (báo, tạp chí)
Book	vở
Bookcase	giá để sách
Board	bảng
Blackboard	bảng đen
Carbon	giấy than
Calculator	máy tính cầm tay
Clamp	cái kẹp
Clock	đồng hồ treo tường
Chair	cái ghế
Chalk	phấn viết
Coloured	bút chì màu
Compass	com-pa
Computer	máy tính bàn
Crayon	bút màu sáp
Cutter	dao rọc giấy
Desk	bàn học
Dictionary	từ điển
Dossier	hồ sơ
Draft	giấy nháp
Duster	khăn lau bảng
Eraser	cái tẩy
Index	giấy ghi có dòng kẻ.
